,Date,Close
0,1990-04-02,755.385
1,1990-04-03,769.868
2,1990-04-04,800.358
3,1990-04-05,823.225
4,1990-04-06,838.47
5,1990-04-09,836.945
6,1990-04-10,830.848
7,1990-04-11,836.945
8,1990-04-12,835.42
9,1990-04-17,844.568
10,1990-04-18,827.798
11,1990-04-19,811.029
12,1990-04-20,820.175
13,1990-04-23,791.21
14,1990-04-24,792.735
15,1990-04-25,795.784
16,1990-04-26,803.406
17,1991-12-02,101.379
18,1991-12-03,103.36
19,1991-12-04,102.446
20,1991-12-05,103.36
21,1991-12-06,103.36
22,1991-12-09,103.36
23,1991-12-10,100.769
24,1991-12-11,100.616
25,1991-12-12,103.208
26,1991-12-13,104.275
27,1991-12-16,106.409
28,1991-12-17,107.324
29,1991-12-18,107.324
30,1991-12-19,107.781
31,1991-12-20,106.714
32,1991-12-23,106.409
33,1991-12-24,110.678
34,1991-12-26,112.05
35,1991-12-27,112.05
36,1991-12-30,114.032
37,1991-12-31,114.489
38,1992-01-02,111.745
39,1992-01-03,114.032
40,1992-01-06,114.642
41,1992-01-07,113.727
42,1992-01-08,113.574
43,1992-01-09,113.574
44,1992-01-10,116.928
45,1992-01-13,115.251
46,1992-01-14,115.251
47,1992-01-15,116.014
48,1992-01-16,115.251
49,1992-01-17,113.574
50,1992-01-20,112.355
51,1992-01-21,113.727
52,1992-01-22,111.593
53,1992-01-23,111.44
54,1992-01-24,111.593
55,1992-01-27,113.727
56,1992-01-28,113.422
57,1992-01-29,113.422
58,1992-01-30,112.05
59,1992-01-31,110.983
60,1992-02-03,109.763
61,1992-02-04,112.507
62,1992-02-05,113.574
63,1992-02-06,112.66
64,1992-02-07,112.66
65,1992-02-10,112.202
66,1992-02-11,111.898
67,1992-02-12,111.288
68,1992-02-13,110.525
69,1992-02-14,110.068
70,1992-02-17,111.288
71,1992-02-18,114.337
72,1992-02-19,113.879
73,1992-02-20,116.166
74,1992-02-21,118.453
75,1992-02-24,118.148
76,1992-02-25,114.794
77,1992-02-26,118.453
78,1992-02-27,117.995
79,1992-02-28,118.758
80,1992-03-02,118.3
81,1992-03-03,117.386
82,1992-03-04,118.91
83,1992-03-05,118.758
84,1992-03-06,118.148
85,1992-03-09,118.91
86,1992-03-10,120.892
87,1992-03-11,119.063
88,1992-03-12,118.605
89,1992-03-13,119.672
90,1992-03-16,119.672
91,1992-03-17,120.282
92,1992-03-18,119.215
93,1992-03-19,119.368
94,1992-03-20,118.453
95,1992-03-23,116.319
96,1992-03-24,117.538
